index,PROJECT,#Code Files,LOC,#function under test,#generated test cases,#build success,build success rate,#run success,run success rate
1,JsonBox,19,1467,72,578,32,0.4444444444444444,32,1.0
2,re2,77,27844,609,5124,126,0.20689655172413793,91,0.7222222222222222
3,leveldb,126,19016,495,3158,129,0.2606060606060606,111,0.8538461538461538
4,Catch2,272,38848,1115,7578,193,0.17309417040358743,166,0.8556701030927835
5,glomap,71,6813,168,958,39,0.23214285714285715,38,0.9743589743589743
6,ninja,119,21745,170,1402,45,0.2647058823529412,41,0.9111111111111111
7,tinyxml2,3,5841,328,2352,76,0.23170731707317074,65,0.8552631578947368
8,yaml-cpp,91,9215,686,4306,154,0.22448979591836735,149,0.9551282051282052
9,exiv2,182,68638,2206,15711,183,0.0829555757026292,164,0.8961748633879781
10,poppler,548,195640,2792,18753,209,0.0748567335243553,152,0.7272727272727273
,TOTAL,4524,1185201,25921,330393,8472,0.4483379321658735,7628,0.9043745225195623